node1,node2
1,4
1,28
2,6
2,34
3,4
3,29
4,1
4,3
4,31
4,34
4,39
5,14
5,15
5,20
5,38
6,2
6,13
6,25
6,40
7,18
8,35
9,21
10,33
11,14
11,22
11,33
11,41
12,23
12,24
12,31
12,42
12,44
13,6
13,17
13,44
14,5
14,11
14,37
15,5
17,13
17,36
18,7
19,22
19,31
20,5
20,25
20,27
20,36
21,9
21,30
22,11
22,19
22,26
23,12
24,12
24,25
24,33
25,6
25,20
25,24
25,33
26,22
26,38
27,20
27,31
27,35
27,41
28,1
28,35
29,3
29,40
30,21
31,4
31,12
31,19
31,27
31,36
33,10
33,11
33,24
33,25
34,2
34,4
34,42
35,8
35,27
35,28
36,17
36,20
36,31
36,44
37,14
38,5
38,26
39,4
40,6
40,29
41,11
41,27
42,12
42,34
44,12
44,13
44,36
