node1,node2
0,9
0,10
0,18
0,24
0,28
1,24
1,28
2,32
2,40
3,17
3,34
4,5
4,34
5,4
5,43
6,25
7,8
7,17
7,32
8,7
8,26
8,38
9,0
9,42
10,0
10,15
10,24
11,42
12,15
12,20
12,36
13,27
13,37
15,10
15,12
15,23
15,25
15,27
15,43
15,44
16,31
16,38
16,43
17,3
17,7
17,19
17,23
17,33
18,0
18,24
18,37
18,44
19,17
19,20
19,23
20,12
20,19
20,26
23,15
23,17
23,19
24,0
24,1
24,10
24,18
24,31
25,6
25,15
25,43
26,8
26,20
26,29
26,44
27,13
27,15
27,43
28,0
28,1
29,26
29,32
29,34
29,43
31,16
31,24
31,42
32,2
32,7
32,29
33,17
34,3
34,4
34,29
34,35
34,40
35,34
36,12
36,40
37,13
37,18
38,8
38,16
38,39
39,38
39,43
40,2
40,34
40,36
42,9
42,11
42,31
43,5
43,15
43,16
43,25
43,27
43,29
43,39
44,15
44,18
44,26
