network, simulation, day, sickPercentage, border_red_cnt, border_green_cnt,edgeCnt, firstSickNeighbourCnt, maxNeighbourCnt,midNeighbourCnt,quaterHighNeighbourCnt,averageNeighbourCnt 
0,0,1,0.02222222,1,3,75,3,10,3,4,3.333333
0,0,2,0.06666667,3,7,75,3,10,3,4,3.333333
0,0,3,0.1555556,5,10,75,3,10,3,4,3.333333
0,0,4,0.3333333,7,11,75,3,10,3,4,3.333333
0,0,5,0.4888889,7,13,75,3,10,3,4,3.333333
0,0,6,0.7333333,6,6,75,3,10,3,4,3.333333
0,0,7,0.8888889,1,4,75,3,10,3,4,3.333333
0,0,8,0.9333333,2,2,75,3,10,3,4,3.333333
0,0,9,0.9555556,1,2,75,3,10,3,4,3.333333
0,0,10,1,0,0,75,3,10,3,4,3.333333
0,0,11,1,0,0,75,3,10,3,4,3.333333
0,0,12,1,0,0,75,3,10,3,4,3.333333
0,0,13,1,0,0,75,3,10,3,4,3.333333
0,0,14,1,0,0,75,3,10,3,4,3.333333
0,0,15,1,0,0,75,3,10,3,4,3.333333
0,0,16,1,0,0,75,3,10,3,4,3.333333
0,0,17,1,0,0,75,3,10,3,4,3.333333
0,0,18,1,0,0,75,3,10,3,4,3.333333
0,0,19,1,0,0,75,3,10,3,4,3.333333
0,1,1,0.02222222,1,3,75,3,10,3,4,3.333333
0,1,2,0.06666667,3,4,75,3,10,3,4,3.333333
0,1,3,0.1111111,4,8,75,3,10,3,4,3.333333
0,1,4,0.2444444,6,12,75,3,10,3,4,3.333333
0,1,5,0.3555556,8,16,75,3,10,3,4,3.333333
0,1,6,0.5555556,12,14,75,3,10,3,4,3.333333
0,1,7,0.8222222,6,3,75,3,10,3,4,3.333333
0,1,8,0.9555556,1,1,75,3,10,3,4,3.333333
0,1,9,0.9777778,1,0,75,3,10,3,4,3.333333
0,1,10,0.9777778,1,0,75,3,10,3,4,3.333333
0,1,11,1,0,0,75,3,10,3,4,3.333333
0,1,12,1,0,0,75,3,10,3,4,3.333333
0,1,13,1,0,0,75,3,10,3,4,3.333333
0,1,14,1,0,0,75,3,10,3,4,3.333333
0,1,15,1,0,0,75,3,10,3,4,3.333333
0,1,16,1,0,0,75,3,10,3,4,3.333333
0,1,17,1,0,0,75,3,10,3,4,3.333333
0,1,18,1,0,0,75,3,10,3,4,3.333333
0,1,19,1,0,0,75,3,10,3,4,3.333333
0,2,1,0.02222222,1,2,75,2,10,3,4,3.333333
0,2,2,0.04444445,2,2,75,2,10,3,4,3.333333
0,2,3,0.06666667,2,6,75,2,10,3,4,3.333333
0,2,4,0.1333333,4,9,75,2,10,3,4,3.333333
0,2,5,0.2,6,14,75,2,10,3,4,3.333333
0,2,6,0.2888889,5,15,75,2,10,3,4,3.333333
0,2,7,0.5555556,7,16,75,2,10,3,4,3.333333
0,2,8,0.8444445,6,2,75,2,10,3,4,3.333333
0,2,9,0.9555556,1,0,75,2,10,3,4,3.333333
0,2,10,1,0,0,75,2,10,3,4,3.333333
0,2,11,1,0,0,75,2,10,3,4,3.333333
0,2,12,1,0,0,75,2,10,3,4,3.333333
0,2,13,1,0,0,75,2,10,3,4,3.333333
0,2,14,1,0,0,75,2,10,3,4,3.333333
0,2,15,1,0,0,75,2,10,3,4,3.333333
0,2,16,1,0,0,75,2,10,3,4,3.333333
0,2,17,1,0,0,75,2,10,3,4,3.333333
0,2,18,1,0,0,75,2,10,3,4,3.333333
0,2,19,1,0,0,75,2,10,3,4,3.333333
0,3,1,0.02222222,1,2,75,2,10,3,4,3.333333
0,3,2,0.04444445,2,6,75,2,10,3,4,3.333333
0,3,3,0.1111111,5,9,75,2,10,3,4,3.333333
0,3,4,0.2222222,6,16,75,2,10,3,4,3.333333
0,3,5,0.4666667,14,14,75,2,10,3,4,3.333333
0,3,6,0.6444445,8,9,75,2,10,3,4,3.333333
0,3,7,0.8222222,2,4,75,2,10,3,4,3.333333
0,3,8,0.8888889,3,2,75,2,10,3,4,3.333333
0,3,9,0.9777778,1,0,75,2,10,3,4,3.333333
0,3,10,0.9777778,1,0,75,2,10,3,4,3.333333
0,3,11,1,0,0,75,2,10,3,4,3.333333
0,3,12,1,0,0,75,2,10,3,4,3.333333
0,3,13,1,0,0,75,2,10,3,4,3.333333
0,3,14,1,0,0,75,2,10,3,4,3.333333
0,3,15,1,0,0,75,2,10,3,4,3.333333
0,3,16,1,0,0,75,2,10,3,4,3.333333
0,3,17,1,0,0,75,2,10,3,4,3.333333
0,3,18,1,0,0,75,2,10,3,4,3.333333
0,3,19,1,0,0,75,2,10,3,4,3.333333
0,4,1,0.02222222,1,2,75,2,10,3,4,3.333333
0,4,2,0.02222222,1,2,75,2,10,3,4,3.333333
0,4,3,0.06666667,2,5,75,2,10,3,4,3.333333
0,4,4,0.1111111,3,9,75,2,10,3,4,3.333333
0,4,5,0.2222222,6,11,75,2,10,3,4,3.333333
0,4,6,0.4444444,7,15,75,2,10,3,4,3.333333
0,4,7,0.6888889,11,6,75,2,10,3,4,3.333333
0,4,8,0.7777778,6,6,75,2,10,3,4,3.333333
0,4,9,0.8888889,5,1,75,2,10,3,4,3.333333
0,4,10,0.9333333,4,0,75,2,10,3,4,3.333333
0,4,11,1,0,0,75,2,10,3,4,3.333333
0,4,12,1,0,0,75,2,10,3,4,3.333333
0,4,13,1,0,0,75,2,10,3,4,3.333333
0,4,14,1,0,0,75,2,10,3,4,3.333333
0,4,15,1,0,0,75,2,10,3,4,3.333333
0,4,16,1,0,0,75,2,10,3,4,3.333333
0,4,17,1,0,0,75,2,10,3,4,3.333333
0,4,18,1,0,0,75,2,10,3,4,3.333333
0,4,19,1,0,0,75,2,10,3,4,3.333333
0,5,1,0.02222222,1,3,75,3,10,3,4,3.333333
0,5,2,0.06666667,3,7,75,3,10,3,4,3.333333
0,5,3,0.1111111,5,10,75,3,10,3,4,3.333333
0,5,4,0.2888889,6,11,75,3,10,3,4,3.333333
0,5,5,0.4222222,8,14,75,3,10,3,4,3.333333
0,5,6,0.6666667,7,10,75,3,10,3,4,3.333333
0,5,7,0.8444445,6,5,75,3,10,3,4,3.333333
0,5,8,0.9555556,2,0,75,3,10,3,4,3.333333
0,5,9,1,0,0,75,3,10,3,4,3.333333
0,5,10,1,0,0,75,3,10,3,4,3.333333
0,5,11,1,0,0,75,3,10,3,4,3.333333
0,5,12,1,0,0,75,3,10,3,4,3.333333
0,5,13,1,0,0,75,3,10,3,4,3.333333
0,5,14,1,0,0,75,3,10,3,4,3.333333
0,5,15,1,0,0,75,3,10,3,4,3.333333
0,5,16,1,0,0,75,3,10,3,4,3.333333
0,5,17,1,0,0,75,3,10,3,4,3.333333
0,5,18,1,0,0,75,3,10,3,4,3.333333
0,5,19,1,0,0,75,3,10,3,4,3.333333
0,6,1,0.02222222,1,4,75,4,10,3,4,3.333333
0,6,2,0.08888889,3,13,75,4,10,3,4,3.333333
0,6,3,0.2666667,9,20,75,4,10,3,4,3.333333
0,6,4,0.5333334,14,12,75,4,10,3,4,3.333333
0,6,5,0.8444445,6,3,75,4,10,3,4,3.333333
0,6,6,0.9333333,2,2,75,4,10,3,4,3.333333
0,6,7,0.9333333,2,2,75,4,10,3,4,3.333333
0,6,8,0.9555556,2,0,75,4,10,3,4,3.333333
0,6,9,0.9777778,1,0,75,4,10,3,4,3.333333
0,6,10,0.9777778,1,0,75,4,10,3,4,3.333333
0,6,11,0.9777778,1,0,75,4,10,3,4,3.333333
0,6,12,0.9777778,1,0,75,4,10,3,4,3.333333
0,6,13,1,0,0,75,4,10,3,4,3.333333
0,6,14,1,0,0,75,4,10,3,4,3.333333
0,6,15,1,0,0,75,4,10,3,4,3.333333
0,6,16,1,0,0,75,4,10,3,4,3.333333
0,6,17,1,0,0,75,4,10,3,4,3.333333
0,6,18,1,0,0,75,4,10,3,4,3.333333
0,6,19,1,0,0,75,4,10,3,4,3.333333
0,7,1,0.02222222,1,2,75,2,10,3,4,3.333333
0,7,2,0.02222222,1,2,75,2,10,3,4,3.333333
0,7,3,0.02222222,1,2,75,2,10,3,4,3.333333
0,7,4,0.04444445,2,5,75,2,10,3,4,3.333333
0,7,5,0.1333333,4,9,75,2,10,3,4,3.333333
0,7,6,0.1777778,5,13,75,2,10,3,4,3.333333
